title,company_name,location,via,description,job_highlights,related_links,extensions,detected_extensions,job_id,thumbnail
Media Data Quality Manager,Red Bull,"  Elsbethen, Austria   ",via SmartRecruiters Job Search,"Company Description

Do you want to be responsible for ensuring the quality and accuracy of our media and marketing data and work closely with the data quality specialists, media analyst team, and other stakeholders to identify, investigate, and coordinate resolution for data issues? Then join our Media Data Quality Team at the Red Bull Media House!

The ideal candidate should have advanced technical skills in SQL and possess adequate skills in Python or R to extract, explore, and visualize data within a complex data architecture. In addition to executing analysis to confirm data integrity, you'll work closely with the data quality team to ideate and create monitoring reports that function as visualization tools to assess the current quality state of certain metrics and identify data quality concerns. You'll communicate complex data analysis and issues to business counterparts effectively.

Job Description

Data Analytics

Analyse media data from various sources, identify... discrepancies and coordinate the proper source owner to rectify them. Work closely with the media analytics team to ensure data quality standards are adhered to.

Data Quality

Develop and maintain data quality checks and alerts to proactively identify issues and prevent data quality degradation.

Communication

Communicate data quality issues, root causes, and remediation plans to relevant stakeholders.

Stakeholder Management

Liaise with other departments to understand their data requirements and support data-related projects and initiatives by providing input on data requirements, data integration, data linage, data quality, and data governance best practices.

Qualifications

Bachelor's degree in a relevant field such as computer science, mathematics, statistics or a related field

Minimum of 3 years of relevant experience working with data, with a strong focus on data quality

Advanced proficiency in SQL

Experience with Python or R, and the ability to use it for data extraction, transformation, and visualization

Knowledge of data visualization tools such as Looker, Google 360 Analytics, Sprinkler, and SAP Analytics Cloud

Proficiency in data quality assessment and data governance practices

Strong communication skills, both written and verbal, to articulate complex technical concepts to non-technical stakeholders

Analytics and problem-solving skills to identify, diagnose, and resolve data issues

Fluent in English, German is a plus

Additional Information

Due to legal reasons we are obliged to disclose the minimum salary according to the collective agreement for this position, which is € 2.041 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.

As an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. We believe passionately that employing a diverse workforce is central to our success. We welcome applications from all members of society irrespective of age, skin colour, religion, gender, sexual orientation or origin","[{'items': [""Company Description\n\nDo you want to be responsible for ensuring the quality and accuracy of our media and marketing data and work closely with the data quality specialists, media analyst team, and other stakeholders to identify, investigate, and coordinate resolution for data issues? Then join our Media Data Quality Team at the Red Bull Media House!\n\nThe ideal candidate should have advanced technical skills in SQL and possess adequate skills in Python or R to extract, explore, and visualize data within a complex data architecture. In addition to executing analysis to confirm data integrity, you'll work closely with the data quality team to ideate and create monitoring reports that function as visualization tools to assess the current quality state of certain metrics and identify data quality concerns. You'll communicate complex data analysis and issues to business counterparts effectively.\n\nJob Description\n\nData Analytics\n\nAnalyse media data from various sources, identify... discrepancies and coordinate the proper source owner to rectify them. Work closely with the media analytics team to ensure data quality standards are adhered to.\n\nData Quality\n\nDevelop and maintain data quality checks and alerts to proactively identify issues and prevent data quality degradation.\n\nCommunication\n\nCommunicate data quality issues, root causes, and remediation plans to relevant stakeholders.\n\nStakeholder Management\n\nLiaise with other departments to understand their data requirements and support data-related projects and initiatives by providing input on data requirements, data integration, data linage, data quality, and data governance best practices.\n\nQualifications\n\nBachelor's degree in a relevant field such as computer science, mathematics, statistics or a related field\n\nMinimum of 3 years of relevant experience working with data, with a strong focus on data quality\n\nAdvanced proficiency in SQL\n\nExperience with Python or R, and the ability to use it for data extraction, transformation, and visualization\n\nKnowledge of data visualization tools such as Looker, Google 360 Analytics, Sprinkler, and SAP Analytics Cloud\n\nProficiency in data quality assessment and data governance practices\n\nStrong communication skills, both written and verbal, to articulate complex technical concepts to non-technical stakeholders\n\nAnalytics and problem-solving skills to identify, diagnose, and resolve data issues\n\nFluent in English, German is a plus\n\nAdditional Information\n\nDue to legal reasons we are obliged to disclose the minimum salary according to the collective agreement for this position, which is € 2.041 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.\n\nAs an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. We believe passionately that employing a diverse workforce is central to our success. We welcome applications from all members of society irrespective of age, skin colour, religion, gender, sexual orientation or origin""]}]","[{'link': 'https://www.google.com/search?hl=en&q=Red+Bull&sa=X&ved=0ahUKEwi0j7Otg7mAAxWBFlkFHZHPAp0QmJACCJkI', 'text': 'See web results for Red Bull'}]",['Full-time'],{'schedule_type': 'Full-time'},eyJqb2JfdGl0bGUiOiJNZWRpYSBEYXRhIFF1YWxpdHkgTWFuYWdlciIsImh0aWRvY2lkIjoibXpocFE1RVZPXzhBQUFBQUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU9WbWxsYm01aExFRjFjM1J5YVdFIiwiaGwiOiJlbiIsImZjIjoiRXZjQkNyY0JRVTFyTW14c1NreGZRMDE0UmxCbWVVcEhjRjlrWW5GeE1FMXRZamsxTjJKc1FsUmZURmt3YW0xQ2JuSkROM0JDY3pKZmJtMWpjMmQxT0ZGUlJWRkZja2R1U3pKYWVHNUJZVEpMWm5SVlptRTNRaTFyWDFkV2RuTm5kRzVMVTBWSWNXTktTSFZ6YTNFNGJXVnlhamx0VUVGaWFXZzNSMmhIVVdSTFEyZGlUVFZOYTNsYU1ucDFSV3B3UVdSSmFtd3llR2RZYTBGZlYxaEZhbEJuZFVoQlZWVnZTWHBaV1ROc1p6QTBURjlTYmxoNFRWUkhOeTFCRWhkellsQklXbEJVZVU1SlIzUTFUbTlRYTFvdFREWkJheG9pUVV4RlV6bDFUblZuVjBVeFgwZ3lSaTFIYWtwUmIzSlJha3BIVUdwNk5uWnZRUSIsImZjdiI6IjMiLCJmY19pZCI6ImZjXzEiLCJhcHBseV9saW5rIjp7InRpdGxlIjoiLm5GZzJlYntmb250LXdlaWdodDo1MDB9LkJpNkRkY3tmb250LXdlaWdodDo1MDB9QXBwbHkgb24gU21hcnRSZWNydWl0ZXJzIEpvYiBTZWFyY2giLCJsaW5rIjoiaHR0cHM6Ly9qb2JzLnNtYXJ0cmVjcnVpdGVycy5jb20vUmVkQnVsbC83NDM5OTk5MDY0ODkwNzQtbWVkaWEtZGF0YS1xdWFsaXR5LW1hbmFnZXI/dXRtX2NhbXBhaWduPWdvb2dsZV9qb2JzX2FwcGx5XHUwMDI2dXRtX3NvdXJjZT1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9tZWRpdW09b3JnYW5pYyJ9fQ==,
Data and Analytics Expert Operations (f/m/d),PALFINGER AG,"  Bergheim, Austria   ",via Adzuna.at,"TASKS & RESPONSIBILITIES
• Processing of Operations data for information and visualization
• Contact person for data analytics topics in Operations, in particular for the formulation of requirements for global BI solutions related to sales
• Close cooperation with Operations Controlling and Business Intelligence
• Harmonization/standardization of KPIs
• Initiation, management, and participation in projects relating to data analytics and predictive analytics
• Quality assurance of the available data
• Identify data driven potentials for process improvements
• You evaluate and translate complex functional and technical requirements (application and technical layers) into assignable deliverables and technical work packages in order to implement the desired solution.
• You contribute to new projects and evaluate their fit into the existing architecture and potentially extend the existing architecture of necessary
• You create use cases for Proof-of-Concepts and user stories for... behaviour-driven development
• You perform research for new technologies and best practices.
• Internal Stakeholders Management
QUALIFICATIONS
• Completed technical or commercial education
• Practical experience of 3 years minimum preferred
• Sound training in mathematics, statistics, computer science or similar.
• Experience in the field of data science and/or machine learning projects
• Enthusiasm for numbers, data, analysis and visualization
• Experience working with databases and creating reports in Power BI
• Knowledge of a programming language (eg: Python, R) beneficial
• High customer orientation in combination with enthusiasm for solving complex data-based tasks
• Well organized and structured person with hands on implementation skills
• Enjoys working in a creative, dynamic, and global team
• open and communicative, willingness to learn, self-reliant;
• fluent in spoken / written German or English
• Additional language skills are a plus
WE OFFER
• a challenge with room for implementing your own ideas and concepts;
• a creative job in one of the coolest environments in the industry;
• a tangible and heartfelt opportunity to learn and grow with us;
• cooperation in an interdisciplinary and diverse global team;
• good work-life balance thanks to flexible working hours and the freedom to organize your work;
• performance-related compensation and attractive incentive schemes;
• career planning, personal and management development programs;
• opportunity to gain international experience;
• voluntary fringe benefits provided by our company health management scheme PALfit;
OTHER
• willingness to travel up to 30%;
• location Bergheim;
• excellent business English and German;
• fulltime;

Minimum gross salary according to Austrian metal industry collective agreement is EUR 46.346,72 per year. We are willing to overpay according to training and qualification. We are looking forward to your informative application including salary expectations and a possible entry date","[{'items': ['TASKS & RESPONSIBILITIES\n• Processing of Operations data for information and visualization\n• Contact person for data analytics topics in Operations, in particular for the formulation of requirements for global BI solutions related to sales\n• Close cooperation with Operations Controlling and Business Intelligence\n• Harmonization/standardization of KPIs\n• Initiation, management, and participation in projects relating to data analytics and predictive analytics\n• Quality assurance of the available data\n• Identify data driven potentials for process improvements\n• You evaluate and translate complex functional and technical requirements (application and technical layers) into assignable deliverables and technical work packages in order to implement the desired solution.\n• You contribute to new projects and evaluate their fit into the existing architecture and potentially extend the existing architecture of necessary\n• You create use cases for Proof-of-Concepts and user stories for... behaviour-driven development\n• You perform research for new technologies and best practices.\n• Internal Stakeholders Management\nQUALIFICATIONS\n• Completed technical or commercial education\n• Practical experience of 3 years minimum preferred\n• Sound training in mathematics, statistics, computer science or similar.\n• Experience in the field of data science and/or machine learning projects\n• Enthusiasm for numbers, data, analysis and visualization\n• Experience working with databases and creating reports in Power BI\n• Knowledge of a programming language (eg: Python, R) beneficial\n• High customer orientation in combination with enthusiasm for solving complex data-based tasks\n• Well organized and structured person with hands on implementation skills\n• Enjoys working in a creative, dynamic, and global team\n• open and communicative, willingness to learn, self-reliant;\n• fluent in spoken / written German or English\n• Additional language skills are a plus\nWE OFFER\n• a challenge with room for implementing your own ideas and concepts;\n• a creative job in one of the coolest environments in the industry;\n• a tangible and heartfelt opportunity to learn and grow with us;\n• cooperation in an interdisciplinary and diverse global team;\n• good work-life balance thanks to flexible working hours and the freedom to organize your work;\n• performance-related compensation and attractive incentive schemes;\n• career planning, personal and management development programs;\n• opportunity to gain international experience;\n• voluntary fringe benefits provided by our company health management scheme PALfit;\nOTHER\n• willingness to travel up to 30%;\n• location Bergheim;\n• excellent business English and German;\n• fulltime;\n\nMinimum gross salary according to Austrian metal industry collective agreement is EUR 46.346,72 per year. We are willing to overpay according to training and qualification. We are looking forward to your informative application including salary expectations and a possible entry date']}]","[{'link': 'http://www.palfinger.ag/', 'text': 'palfinger.ag'}, {'link': 'https://www.google.com/search?hl=en&q=PALFINGER+AG&sa=X&ved=0ahUKEwi0j7Otg7mAAxWBFlkFHZHPAp0QmJACCMwI', 'text': 'See web results for PALFINGER AG'}]","['16 days ago', 'Full-time', 'No degree mentioned']","{'posted_at': '16 days ago', 'schedule_type': 'Full-time'}",eyJqb2JfdGl0bGUiOiJEYXRhIGFuZCBBbmFseXRpY3MgRXhwZXJ0IE9wZXJhdGlvbnMgKGYvbS9kKSIsImh0aWRvY2lkIjoiTWZ2VWFBVmhoT2tBQUFBQUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU9WbWxsYm01aExFRjFjM1J5YVdFIiwiaGwiOiJlbiIsImZjIjoiRXJjQ0N2Y0JRVTFyTW14c1NrUXlkRWt0VlZOclVXMUNWM0ZEUW01RVQybHNXbVpSZWtWWGRtWndjbTVpTmpWM1NuVlZTalp4ZUd4U1FXOVNTV3RFV1daeldVazFUWEJHYVRoemVGSXRha00zYkZsd1YyOTBkRXhFTld0cFEwSnVSVmR0UkdVeU1WY3lPRU42ZERGS1J6VjFRamhITTIxMk5HbEpkRnBoY21GMmNteFJlV0ZNVkZSbVFuVndYMDR6WDBkUmMyRkhabkZJTTI1ek9UbERjazVUTFVwR2NuRmxTR3MyVW5sUlJVMXVlVFJXVUhFeFVuSXhObmM0TVhnME1VaFNTMVpoU1hZeVZUWlpZbVpTTkZNelRYbEJTa0ZMVTFkVVJISkdTalJNV2pSNlowVkJhVUZzYkdaR05UUnFUV0ZpWDB3M09XUk9NalpRTkJJWGMySlFTRnBRVkhsT1NVZDBOVTV2VUd0YUxVdzJRV3NhSWtGTVJWTTVkVkJHZUhwc2MzRkVjUzFQWmtaUVlsSkxVRmxLWWpCdk0yaDZTVkUiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY18yIiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFwcGx5IG9uIEFkenVuYS5hdCIsImxpbmsiOiJodHRwczovL3d3dy5hZHp1bmEuYXQvZGV0YWlscy80MjA5Njk5NDM5P3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMN8KxlblYyJVP2MRO6sQKkApo10Z21r0zMFPpXZE&s
Media Data Quality Manager,Red Bull Gruppe,"  Salzburg, Austria   ",via Jooble,"Do you want to be responsible for ensuring the quality and accuracy of our media and marketing data and work closely with the data quality specialists, media analyst team, and other stakeholders to identify, investigate, and coordinate resolution for data issues? Then join our Media Data Quality Team at the Red Bull Media House!

The ideal candidate should have advanced technical skills in SQL and possess adequate skills in Python or R to extract, explore, and visualize data within a complex data architecture. In addition to executing analysis to confirm data integrity, you'll work closely with the data quality team to ideate and create monitoring reports that function as visualization tools to assess the current quality state of certain metrics and identify data quality concerns. You'll communicate complex data analysis and issues to business counterparts effectively.","[{'items': [""Do you want to be responsible for ensuring the quality and accuracy of our media and marketing data and work closely with the data quality specialists, media analyst team, and other stakeholders to identify, investigate, and coordinate resolution for data issues? Then join our Media Data Quality Team at the Red Bull Media House!\n\nThe ideal candidate should have advanced technical skills in SQL and possess adequate skills in Python or R to extract, explore, and visualize data within a complex data architecture. In addition to executing analysis to confirm data integrity, you'll work closely with the data quality team to ideate and create monitoring reports that function as visualization tools to assess the current quality state of certain metrics and identify data quality concerns. You'll communicate complex data analysis and issues to business counterparts effectively.""]}]","[{'link': 'http://www.redbull.com/', 'text': 'redbull.com'}, {'link': 'https://www.google.com/search?hl=en&q=Red+Bull+Gruppe&sa=X&ved=0ahUKEwi0j7Otg7mAAxWBFlkFHZHPAp0QmJACCP8I', 'text': 'See web results for Red Bull Gruppe'}]","['11 days ago', 'Full-time', 'No degree mentioned']","{'posted_at': '11 days ago', 'schedule_type': 'Full-time'}",eyJqb2JfdGl0bGUiOiJNZWRpYSBEYXRhIFF1YWxpdHkgTWFuYWdlciIsImh0aWRvY2lkIjoiOEZFT0dtLUdoN0lBQUFBQUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU9WbWxsYm01aExFRjFjM1J5YVdFIiwiaGwiOiJlbiIsImZjIjoiRW93Q0Nzd0JRVTFyTW14c1NuTXlOa1IxTTFkbVVHeFVTRzlCWkc1RWRTMXlka3BVZURGSlJYUmtibVIzYTBKMmVXeExNMnhLWTFGWGJVWlBMVkpRVGxaNFNXdEdiRVp0VVRCTlpXTlhhbTlmU1RNM2RtVk9aR1ZmYkRoaWJIcHBiSFppVUZWbk16TnBkbkp1WnpsTlVrNXdObVpNWkZkR1pHbE9TemxPY1ZwcVRtcHBMVmRMV1ZGalltTkNWRlJuWVY5TFJESlNlVWQzVDFKcWNFOTZSRXRWTTFGUVVtRmlSMVZEZWxaWkxWZ3hZMnBKZVZFdFNWOTBWMnRZTTBsQlZubE5hWEl0Vld0RGFVOW9YMUJxWVdweUVoZHpZbEJJV2xCVWVVNUpSM1ExVG05UWExb3RURFpCYXhvaVFVeEZVemwxVFhkcWVUbE1jbHBXVkRSeGIyaDRkbXRDTWxSUldYVnBZVFE1VVEiLCJmY3YiOiIzIiwiZmNfaWQiOiJmY180IiwiYXBwbHlfbGluayI6eyJ0aXRsZSI6IkFwcGx5IG9uIEpvb2JsZSIsImxpbmsiOiJodHRwczovL2F0Lmpvb2JsZS5vcmcvamRwLy00OTE1NDQzMzE4OTA2ODY2OS9NZWRpYS1EYXRhLVF1YWxpdHktTWFuYWdlci1TYWx6YnVyZy0oU3RhZHQpP3V0bV9jYW1wYWlnbj1nb29nbGVfam9ic19hcHBseVx1MDAyNnV0bV9zb3VyY2U9Z29vZ2xlX2pvYnNfYXBwbHlcdTAwMjZ1dG1fbWVkaXVtPW9yZ2FuaWMifX0=,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvsQQSxLycHWwxVhTW_TS17JIdIZa_P5xR2Yl3&s=0
